name,has_test,response_letter_required,salary_from,salary_to,salary_currency,salary_gross,employer_name,description,area_name
Администратор 1С,False,False,,,,,IPLAND,"<p><strong>О Компании:</strong></p> <p><strong>IPLAND </strong>- украинская продуктовая IT-компания, которая предоставляет IT-сервисы по всему миру. Мы создаем IT-сервисы (программное обеспечение) для автоматизации процессов бизнеса и предоставляем полный цикл услуг по их использованию: запуск, обучение, администрирование, развитие и автоматизацию процессов заказчика, техническую поддержку и консультации бизнес-аналитиков. Наша основная специализация — это повышение эффективности бизнес-процессов: от производителей и дистрибуторов до розничных сетей в отраслях FMCG и фармацевтики.</p> <ul> <li>95+ человек в команде;</li> <li>100 клиентов, среди которых: PepsiCo, Coca-Cola, Nestle, Shell, Nemiroff, Philip Morris и другие;</li> <li>Золотой партнер Microsoft.</li> </ul> <p><strong>Для нас важно:</strong></p> <ul> <li><strong>Увлеченность </strong>- делать клиентов счастливыми возможно только будучи влюбленным в свое дело;</li> <li><strong>Доверие </strong>- как фундамент построения всех отношений в компании и за ее пределами;</li> <li><strong>Чувство прекрасного </strong>- отношение к качеству во всех его проявлениях;</li> <li><strong>Технологическая эффективность </strong>- разрабатывать и внедрять эффективные IT-решения для бизнеса и открытия новых возможностей.</li> </ul> <p><strong>О технологиях:</strong></p> <ul> <li>В разработке используем: облачные сервисы: MS Azure; оркестровка контейнеров: Kubernates; управление проектами: Jira; хранение исходного кода: Bitbucket; непрерывная интеграция: Jenkins; логирование и отслеживание состояние сервисов: Kibana, Zabbix, Prometheus, Grafana;</li> <li>Вся инфраструктура построена на базе облачных сервисов Microsoft Azure (Cosmos DB, Blob Storage, Storage Queues, Storage Table, Scheduler, SQL Service, Data Factory, Redis, KeyVault, Azure AD, Machine Learning);</li> <li>Используется микросервисная архитектура в контейнерах Docker;</li> <li>Технологический стек продукта: хранение данных: Azure Cosmos DB, Blob Storage + Table, SQL Database Service; микросервисы: .NET Core, .NET Framework, Java Spring; нейронные сети: TensorFlow; web-портал: Typescript, React; Android APK: Java, Android SDK; iOS APP: React Native; Chat Bot: Java; отчетность: PowerBI Embedded.</li> </ul> <p><strong>О процессах:</strong></p> <ul> <li>Разработка ведется согласно карты развития продукта;</li> <li>Процесс разработки построен на основании SCRUM фреймворка, придерживаясь ценностей и принципов заявленных в Agile манифесте;</li> <li>Полноценные SCRUM команда с ролями: бизнес-аналитики, Product Owner, UX/UI дизайнер, архитектор, Dev-Ops, DBA, разработчики, тестировщики и инженеры по качеству;</li> <li>Трехуровневая техническая поддержка вынесена в отдельную команду;</li> <li>Поддерживаем обмен опытом и знаниями внутри команды;</li> <li>Финансируем обучение и развитие наших коллег.</li> </ul> <p><strong>Профессиональные и личностные компетенции:</strong></p> <ul> <li>Опыт работы с кластерами 1С, ТЖ, логи SQL;</li> <li>Опыт работы с планами запросов MSSQL, ЦУП, IP;</li> <li>Преимуществом будет опыт разработки в 1С на уровне Junior.</li> </ul> <p><strong>Основные задачи:</strong></p> <ul> <li>Администрирование и конфигурирование: application серверы 1С, серверы СУБД связанные с 1С;</li> <li>Разработка простых программных модулей и функционалов (по возможности).</li> </ul> <p><strong>Условия работы:</strong></p> <ul> <li>Офис в Киеве, 15 минут от метро Святошин (на время карантина удаленно);</li> <li>Бесплатная парковка для авто, мотоцикла и велосипеда;</li> <li>Частичная компенсация медицинской страховки после прохождения испытательного срока;</li> <li>Оплачиваемый отпуск 28 дней и больничные;</li> <li>Бесплатное посещение спорткомплекса (на момент карантина спорткомплекс не работает);</li> <li>Частичная компенсация обедов;</li> <li>Привилегированная дисконтная карта сети магазинов WineTime;</li> <li>Участие в конференциях и воркшопах.</li> </ul>",Киев
Администратор 1С,False,False,,,,,МИР ИНСТРУМЕНТА,"<p>Компания <strong>МИР ИНСТРУМЕНТА</strong> была основана в 1995 году и на сегодняшний день является ведущим поставщиком ручного, садового инструмента, гаражного и силового оборудования на российском рынке.</p> <ul> <li>Складские помещения класса «А» и «В+» площадью 35 000 м2 вблизи федеральных автодорог.</li> <li>Среднесуточный грузооборот 6 000 м3, (1200 тонн, более 3 млн товарных позиций).</li> <li>Управление операциями обеспечивается современной WMS-системой.</li> </ul> <p>На сегодня в наших российских филиалах работает около 2700 сотрудников и более 4000 сотрудников во всем мире. Зарубежные партнерские компании работают в странах СНГ, в Восточной Европе, Северной и Южной Америке.</p> <p>В Центральный офис компании в Департамент внутренней логистики идет поиск кандидата на позицию <em><strong>Старший администратор.</strong></em></p> <p><strong>В ваши обязанности будет входить:</strong></p> <ul> <li>Настройка, поддержка бесперебойной работы <strong><em>1С: WMS Логистика. Управление складом v4;</em></strong></li> <li>Выполнение настроек для новых складов компании;</li> <li>Взаимодействие с программистами по постановке задач и тестирование выполненных разработок;</li> <li>Участие в постановке задач по оптимизации процессов склада, обмену;</li> <li>Настройка прав пользователей и интерфейсов ТСД, АРМ;</li> <li>Разработка пользовательской документации для ключевых пользователей.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы от 3 лет;</li> <li>Знание 1С: WMS Логистика. Управление складом v4 (работа шиной данных обмена будет являться преимуществом);</li> <li>Знание складской логики и логики работы WMS на дистрибьюторских складах от 3000 м2 и более 20 одновременных пользователей (бОльшие объемы будут являться преимуществом);</li> <li>Навыки обучения пользователей WMS.</li> </ul> <p><strong><em>Мы ценим кандидатов, имеющих:</em></strong></p> <ul> <li>Способность добиваться нужного результата в обозначенный срок;</li> <li>Проектный подход к задачам;</li> <li>Аналитические способности;</li> <li>Навыки ведения деловой переписки;</li> <li>Умение работать в команде;</li> <li>Ответственность;</li> <li><em>Готовность к командировкам;</em></li> <li>Коммуникабельность.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Работу в крупной международной оптово-производственной компании;</li> <li>График работы с 9.00 до 18.00, 5-дневная рабочая неделя в офисе;</li> <li>Оформление по ТК РФ, скидки до 20% на продукцию компании;</li> <li>Оплата труда обсуждается с успешным кандидатом по результатам собеседования;</li> <li>Место работы: Подольск, дер. Федюково, ул. Полевая, вл. 20, стр. 1</li> <li><em><strong>Готовы рассмотреть кандидатов из Санкт-Петербурга, Ростова, Самары, Екатеринбурга, Новосибирска, Хабаровска и Красноярска (не удаленно).</strong></em></li> </ul>",Москва
Администратор 1С,False,False,,,,,МИР ИНСТРУМЕНТА,"<p>Компания <strong>МИР ИНСТРУМЕНТА</strong> была основана в 1995 году и на сегодняшний день является ведущим поставщиком ручного, садового инструмента, гаражного и силового оборудования на российском рынке.</p> <ul> <li>Складские помещения класса «А» и «В+» площадью 35 000 м2 вблизи федеральных автодорог.</li> <li>Среднесуточный грузооборот 6 000 м3, (1200 тонн, более 3 млн товарных позиций).</li> <li>Управление операциями обеспечивается современной WMS-системой.</li> </ul> <p>На сегодня в наших российских филиалах работает около 2700 сотрудников и более 4000 сотрудников во всем мире. Зарубежные партнерские компании работают в странах СНГ, в Восточной Европе, Северной и Южной Америке.</p> <p>В Департамент внутренней логистики идет приглашается <em><strong>Старший администратор.</strong></em></p> <p><strong>В ваши обязанности будет входить:</strong></p> <ul> <li>Настройка, поддержка бесперебойной работы <strong><em>1С: WMS Логистика. Управление складом v4;</em></strong></li> <li>Выполнение настроек для новых складов компании;</li> <li>Взаимодействие с программистами по постановке задач и тестирование выполненных разработок;</li> <li>Участие в постановке задач по оптимизации процессов склада, обмену;</li> <li>Настройка прав пользователей и интерфейсов ТСД, АРМ;</li> <li>Разработка пользовательской документации для ключевых пользователей.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы от 3 лет;</li> <li>Знание 1С: WMS Логистика. Управление складом v4 (работа шиной данных обмена будет являться преимуществом);</li> <li>Знание складской логики и логики работы WMS на дистрибьюторских складах от 3000 м2 и более 20 одновременных пользователей (бОльшие объемы будут являться преимуществом);</li> <li>Навыки обучения пользователей WMS.</li> <li>Аналитические способности, структурированность.</li> </ul> <p><strong><em>Мы ценим кандидатов, имеющих:</em></strong></p> <ul> <li>Способность добиваться нужного результата в обозначенный срок;</li> <li>Проектный подход к задачам;</li> <li>Навыки ведения деловой переписки;</li> <li>Умение работать в команде;</li> <li>Ответственность;</li> <li><em>Готовность к командировкам;</em></li> <li>Коммуникабельность.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Работу в крупной международной оптово-производственной компании;</li> <li>График работы с 9.00 до 18.00, 5-дневная рабочая неделя в офисе;</li> <li>Оформление по ТК РФ, скидки до 20% на продукцию компании;</li> <li>Оплата труда обсуждается с успешным кандидатом по результатам собеседования;</li> <li>Место работы на выбор:</li> </ul> <ol> <li>Склад Боровский район, Индустриальный парк Ворсино, 2-й Восточный проезд, вл. 5 с1;</li> <li>Склад Московская обл., Подольский р-н, д. Федюково, ул. Полевая, вл. 20, стр. 1;</li> <li>Офис в Москве рядом с метро Ясенево</li> </ol>",Москва
Администратор 1С,False,False,25000,30000,RUR,False,Доксинбокс,"<p><strong>Привет, возможно, будущий коллега!</strong><br /><br />Мы ищем в нашу открытую и дружную семью – DocsInBox крутого специалиста 1С, в идеале связавшего свою жизнь со сферой Horeca.<br />Мы создаем сервис, который перемещает ресторанную бухгалтерию из старого мира в новый!<br />В старом - бухгалтер Клавдия Васильевна пенсионного возраста сидит в полуподвальной подсобке за старым компом и все вокруг завалено бумажками. В новом мире бухгалтер Маша , которая работает прямо в зале ресторана с планшета! Все бумажки давно электронные, а в той подсобке - склад.<br /><br />Сейчас нашим продуктом пользуются 6000 ресторанов. Каждый месяц мы подключаем 250 новых. Мы номер один в СНГ в сфере HORECA с большим отрывом. И продолжаем расти очень быстро в РФ и за рубежом. С нами уже работают клиенты в США и Дубае.<br />И это только начало!</p> <p><strong>Мы отлично сработаемся, если ты:</strong></p> <p> </p> <ul> <li>Имеешь опыт работы с платформой 1С:8 не менее года (обязательно)</li> <li>Понимаешь что такое первичная документация (Торг-12/УПД)</li> <li>Имеешь знания основных органов управление конфигуратора и умение программировать будет большим плюсом (1С:8 или 1С:7)</li> <li>Открытость в общении</li> <li>Умение грамотно писать и говорить</li> <li>Умеешь работать в режиме многозадачности</li> <li>Ответственный подход к работе</li> </ul> <p><strong>Тебе предстоит:</strong></p> <ul> <li>Работать напрямую с поставщиками и ресторанами</li> <li>Базовая доработка обработчиков на платформе 1С:предприятие 8</li> <li>Решение проблем‚ возникающих в ходе работы</li> <li>Документирование доработок в нашем внутреннем портале</li> <li>Удаленная установка обработчиков на платформе 1С:8 и 1С:7</li> </ul> <p><strong>Мы предлагаем: </strong></p> <ul> <li>Полностью удаленную работу</li> <li>Вся зарплата белая, оформление по ТК с первого дня</li> <li>Оплачиваемая стажировка с выделенным куратором</li> <li>Возможность профессионального и карьерного роста</li> <li>Дружный коллектив высококвалифицированных сотрудников</li> <li>Продукт, который является ежедневной необходимостью для каждого потенциального клиента HoReCa</li> <li>График работы 5/2 с 9.00 - 18.00 мск</li> </ul>",Санкт-Петербург
Администратор 1С,False,False,,,,,HeadHunter,"<strong>Обязанности:</strong> <ul> <li>Администрирование серверной платформы 1C: копирование, перенос, разворачивание копий баз данных, обновление версий 1с на серверах/терминалах/ПК, удаление в архив устаревших копий баз 1C</li> <li>Публикация изменений, сделанных разработчиками.</li> <li>Настройка прав доступа пользователей согласно запросов.</li> <li>Мониторинг работы серверов 1C: отслеживание\настройка работы регламентных заданий SQL серверов.</li> <li>Поддержка пользователей 1C по работе с программой 1C</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт администрирования 1С</li> <li>Опыт администрирования MS SQL Server</li> <li>Знание архитектуры платформы 1C</li> <li>Знание ПК на уровне администратора</li> </ul> <strong>Условия:</strong> <ul> <li>после окончание испытательного периода есть возможность выбрать гибридный или полностью офисный график работы;</li> <li>в период технических работ график может быть не нормированным;</li> <li>корпоративный ДМС (решаем вопросы со здоровьем быстро и удобно);</li> <li>корпоративная библиотека My Book;</li> <li>вам есть, что рассказать и чему научить, или хочется поучиться, — мы даём возможность участвовать;</li> <li>если ты активный участник корпоративной жизни, то несмотря на удаленку мы имеем массу активностей от лекций и коллективных занятий спортом онлайн до детского клуба и школы экологии;).</li> </ul>",Москва
Администратор 1С,False,False,,200000,RUR,False,Автоматизация и Консалтинг,"<p><strong>Мы — компания «Автомакон».</strong></p> <p>Уже 10 лет помогаем решать самые амбициозные IT-задачи для ВкусВилл, Альфа-Капитал, Рыбной мануфактуры №1 и других клиентов. В нашей команде почти 200 человек, и мы постоянно растем.</p> <p><strong>Интересное о наших проектах</strong></p> <p>Автоматизируем все что можно. Любим технологии, поэтому документооборот наших клиентов на 90% электронный, а регламентированный учет делается весело. Анализируем данные и персонализируем всю информацию для наших клиентов и заказчиков.</p> <p>Делаем самый быстрый склад. От прихода на склад до магазина за 3 часа! Распределяем товар и заказы оптимально.</p> <p>Разрабатываем множество интеграций с разными IT-системами в X5 Retail Group, Wildberries, Озон, Утконос, Billa, Яндекс.Такси, Gett и других компаниях.</p> <p>Строим магазин будущего ВкусВилл-Go. Используем нейросети, «умные полки» и видеоанализ. Делаем кассу и весы самообслуживания. Вы наверняка их уже опробовали!</p> <p>Разрабатываем мобильные приложения для клиентов и пользователей. Пишем Телеграм-боты для горячей линии, курьеров и сотрудников.</p> <p>Работаем над улучшением доставки при помощи математических моделей. Продумываем систему, в которой довольны все: и курьеры, и клиенты.</p> <p>Сейчас ищем Администратора 1C<strong> </strong>для работы с одним клиентом - ВкусВилл.</p> <p><strong>Что предстоит делать:</strong></p> <ul> <li>администрирование баз данных 1:С;</li> <li>администрирование пользователей и прав доступа к системам 1:С;</li> <li>контроль за выполнением обменов, мониторинг ошибок в системах 1С;</li> <li>управление безопасностью сохранения и обмена информацией;</li> <li>участие в внедрении передовых методов автоматизации;</li> <li>контроль создания резервных копий баз в SQL;</li> <li>восстановление базы из резервной копии в аварийных ситуациях;</li> <li>Настройка и управление кластерами 1С;</li> <li> <p>Выполнение регламентных задач по контролю бесперебойной работы систем 1С Предприятия.</p> </li> </ul> <p><strong>Мы ждем от вас:</strong></p> <ul> <li>опыт работы администратором 1С от 2 лет;</li> <li>опыт и умение настраивать кластеры 1С;</li> <li> <p>опыт и умение администрирования ИБ 1С;.</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <p>— стабильную «белую» зарплату - оклад+премия KPI (окладная система по грейдам с учетом ваших навыков и реальной перспективой роста по зп);</p> <p>— удаленную занятость из любого региона;</p> <p>— сотрудники из Москвы и МО могут работать в уютном офисе с кухнями, снеками и кофе в Строгино или Румянцево;</p> <p>— оплачиваемый отпуск 28 дней, б/л - не зависимо от формы сотрудничества;</p> <p>— систему бенефитов для наших сотрудников: компенсация медицинских расходов, возможность беспроцентного займа, компенсация обучения, спортивных занятий и затрат на обучение детей программированию;</p> <ul> <li>богатый опыт сплоченной и профессиональной команды.</li> </ul> <p><strong>Дополнительным плюсом будет</strong></p> <ul> <li>Опыт и умение анализировать код 1С в программе, опыт выполнения небольших доработок в 1С.</li> <li>Программирование в 1С будет дополнительным преимуществом кандидат</li> </ul> <p><strong>Наши принципы:</strong></p> <p>— поощряем творчество и даем свободу в реализации идей;</p> <p>— работаем по Lean Startup и Kanban;</p> <p>— слушаем и слышим заказчика, работаем в тесной связке с продуктом;</p> <p>— любим ЗОЖ и экологичность во всем;</p> <p>— скромные и честные.</p> <p><strong>Наша команда помогает клиентам строить технологическое будущее! Поэтому к нам попадают только лучшие специалисты.</strong></p> <p> </p> <p> </p> <p> </p>",Москва
Администратор 1С,False,False,,,,,МЕДИ РУС,"<p>Требования:</p> <p>• Опыт работы с продуктом «Битрикс24» в качестве пользователя\аналитика\внедренца\администратора проекта;</p> <p>• Приветствуется наличие сертификатов 1С-Битрикс;</p> <p>• Опыт участия в проектных командах, способность и желание работать в рамках установленных сроков и выходить на результат в рамках этих сроков.</p> <p>Обязанности:</p> <p>• Базовая настройка продукта «Битрикс24» (облако и коробка).</p> <p>Сбор требований. Выполнение административных функций в 1С Битрикс: Корпоративный портал(управление доступом к данным, перенос данных от сотрудника к сотруднику, резервное копирование и восстановление, прекращение доступа сотрудника, замена сотрудника на период временного отсутствия (болезнь, отпуск), настройка модулей</p> <p>• Контроль синхронизации и целостности данных (интеграции MS Exchange, 1C, rest API, телефония в части касающейся);</p> <p>• настройка бизнес-процессов;</p> <p>• поддержка сотрудников по вопросам Битрикс, консультации сотрудников, разработка инструкций, обучение;</p> <p>• участие в переносе CRM из облака на сервер;</p> <p>• предварительная подготовка данных для загрузки на портал (1С / Excel);</p> <p>• выгрузка данных из Битрикс (Excel, rest API);</p> <p>• участие в проекте B2B портала (интеграция B2B портала с Битрикс и 1С, настройки, контроль синхронизации, сопровождение и поддержка);</p> <p>• участие в проекте service Desk (создание serviceDesk в Битрикс и перенос данных из существующей системы);</p> <p>• Выполнение других заданий руководителя по работе в 1С Битрикс: Корпоративный портал.</p> <p>Условия:</p> <p>•Работа в торговой компании (продажа изделий медицинского назначения);</p> <p>•Станция метро «Калужская»;</p> <p>•График работы 5\2 с 9.00 до 17.40;</p> <p>•Заработная плата белая, по результатам собеседования.</p> <p>•Перспектива профессионального роста;</p> <p>•Дружный коллектив.</p> <p> </p>",Москва
Аналитик 1С,False,False,,,,,NFP,"<p><strong>Компания NFP</strong> оказывает услуги по автоматизации бизнеса, финансового учета, планирования, а также инжиниринга бизнес-процессов для коммерческих и государственных организаций. Компания выполняет проекты на территории России, а также за рубежом. Клиентами компании являются: МГУ им. Ломоносова, Иль де Ботэ, Uniqlo, Mitsubishi, Уралкалий, Транснефть, Chateau la Martinette, РЭШ-Сколково и другие.</p> <p>На данный момент, в связи с расширением, в компании открыта позиция<strong> </strong><strong>Аналитика 1С для развития внутренних систем</strong></p> <p><strong>Ваши задачи:</strong></p> <ul> <li>Консультации по ведению учета: настройка системы и анализ запросов на изменение</li> <li>Настройка системы на пользовательском уровне</li> <li>Постановка задач разработчикам 1С, тестирование и контроль выполнения, передача результатов Заказчику</li> </ul> <p><strong>Что мы ожидаем от Вас:</strong></p> <ul> <li>Знание одного или нескольких прикладных решений 1C:УХ, 1С:БП, 1С:ЗУП, 1С: ДО, 1С:КА, 1С:ERP</li> <li>Знания предметной области для одного <strong>или </strong>нескольких областей учета: Оперативный учет, Кадровый учет и расчет заработной платы, Регламентированный учет, Расчет себестоимости</li> <li>Опыт работы на аналогичной должности приветствуется</li> <li>Знания основ программирования / языка запросов будут преимуществом</li> <li>Наличие сертификатов 1С: Специалист-консультант будет преимуществом</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Стабильный оклад, белая заработная плата</li> <li>Профессиональный и карьерный рост выше, чем в среднем по рынку. Пересмотр грейда осуществляется каждые полгода</li> <li>Сильная дружная команда</li> <li>Внутреннее и внешнее обучение за счет компании</li> <li>Дополнительные 5 дней отпуска в году</li> <li>ДМС + стоматология, компенсация мобильной связи</li> <li>Оформление по ТК</li> <li>Офис м. Фрунзенская.</li> </ul>",Москва
Аналитик 1С,False,False,,350000,RUR,True,КСА,"<strong>Обязанности:</strong> <ul> <li>Участие в решении задач по автоматизации управленческого, регламентированного учета, документооборота на платформе 1С Предприятие в качестве Аналитика</li> <li>Постановка задач разработчикам</li> <li>Тестирование доработок</li> <li>Написание проектной документации, инструкций</li> <li>Ответы на вопросы пользователей, анализ данных</li> </ul> <strong>Требования:</strong> <ul> <li>Высшее образование</li> <li>Основы программирования на встроенном языке 1С Предприятие, знание языка запросов 1С</li> <li>Основы бухгалтерского учета</li> <li>Умение готовить проектную документацию (функциональные требования, технические задания, пользовательские инструкции)</li> <li>Уверенный пользователь MS Office (Word, Excel, Power Point)</li> <li>Хорошие коммуникативные навыки</li> <li>Желание постоянно развиваться, осваивать новые технологии</li> </ul> <strong>Условия:</strong> <ul> <li>Вознаграждение: по результатам собеседования, белая зарплата</li> <li>Рабочий день с 9 до 18-и (возможно смещение по договоренности)</li> <li>Различные варианты работы - в офисе (метро Войковская), на территории Заказчика, удаленно (в зависимости от проекта).</li> <li>Перспектива карьерного роста - возможности роста до Архитектора 1С и далее до начальника отдела</li> <li>Дружный, профессиональный коллектив</li> <li>Отрицательное отношение к переработкам и авралам. Отлично сделанная работа не остается не замеченной и не вознаграждённой.</li> </ul>",Москва
Аналитик 1С,False,False,120000,150000,RUR,False,"Assino, Группа компаний","<p>О компании:</p> <p>assino – международная консалтинговая компания, лидер рынка автоматизации международных компаний в России и странах СНГ. Уникальная экспертиза наших специалистов, полученная в рамках партнерства с ведущими вендорами ERP-решений, позволяет нам в течение 20 лет успешно внедрять, локализировать и интегрировать учетные системы на проектах международного уровня. В России и СНГ мы в тесном партнерстве с фирмой 1С внедряем учетные системы у ключевых российских и иностранных заказчиков.</p> <p>assino – это опыт реализации более 200 проектов с лидерами глобальных и российских рынков: Siemens, McDonalds, BIOCAD, Sanofi, Mary Kay, Рив Гош, Dr.Theiss, YIT и др. Наши стандарты качества подтверждены рядом международных сертификатов.</p> <p>assino – это профессиональный, сплоченный коллектив единомышленников. В российских офисах компании трудятся свыше 300 высококвалифицированных специалистов.</p> <p><strong>Основные задачи:</strong></p> <ol> <li><em>Участие в крупных долгосрочных проектах по автоматизации международных предприятий на базе семейства программных продуктов 1С в роли консультанта-аналитика 1С;</em></li> <li><em>Участие в предпроектных работах:</em></li> </ol> <ul> <li> <p>Проведение анализа бизнес-процессов и особенностей учета клиента, совместно с ведущим консультантом;</p> </li> <li> <p>Согласование требований по процессам клиента в рамках проекта.</p> </li> <li> <p>Подготовка презентаций программного продукта;</p> </li> <li> <p>Участие в подготовке технико-коммерческих предложений;</p> </li> </ul> <p>3. <em>Участие в процессе автоматизации учета:</em></p> <ul> <li> <p>Помощь в разработке концепции внедрения;</p> </li> <li> <p>Подготовка и ведение документации согласно проектной технологии компании;</p> </li> <li> <p>Составление технического задания разработчикам;</p> </li> <li> <p>Финальное тестирование доработок;</p> </li> <li> <p>Обучение пользователей;</p> </li> <li> <p>Участие в презентации финального продукта клиенту.</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее экономическое или техническое образование;</li> <li>Опыт работы в типовых конфигурациях 1С;</li> <li>Способность к быстрой адаптации и обучению;</li> <li>Знание не менее одной предметной области (производственный учет, торгово-складской учет, расчет зарплаты и кадровый учет, бухгалтерский и налоговый учет, бюджетирование, казначейство и т.д.)</li> </ul> <p><em>Вашими преимуществами будут:</em></p> <ul> <li>Наличие сертификатов фирмы 1С;</li> <li>Владение английским/немецким языками.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Официальное трудоустройство. Гарантированный стабильный доход от 130 000 - 150 000 рублей, который состоит из базовой ставки 100 000 – 120 000 рублей (обсуждается индивидуально) и премиальной части 20 000 - 40 000 рублей (по результатам работы).</li> <li>Возможность пополнить свой портфель проектов крупными международными заказчиками;</li> <li>Реальную возможность профессионального и карьерного роста до Руководителя группы консультантов 1С или Руководителя проектов (внутреннее и внешнее обучение за счет компании, в том числе по линии сертификации 1С);</li> <li>Работу в устойчивой международной компании – за 20 лет на рынке прошли не один экономический кризис;</li> <li>Участие в сложных и интересных международных ERP-проектах;</li> <li>Корпоративная связь и ноутбук;</li> <li>Возможность зарубежных командировок;</li> <li>Программу помощи при переезде иногородним сотрудникам;</li> <li>Комфортный офис, гибкий график, возможность удаленной работы.</li> </ul> <p><strong>Работа в условиях пандемии:</strong></p> <p>Наши современные редундантные дата-центры, размещенные в Германии и в России, позволяют нам временно работать вне наших уютных офисов с такой же высокой производительностью. Уникальный опыт и знания наших специалистов по виртуализации рабочих мест и организации гетерогенной IT инфраструктуры также востребованы нашими корпоративными клиентами. Мы разместили IT системы ряда наших корпоративных клиентов в наших дата-центрах, а также временно реализовали удаленные рабочие места.</p>",Санкт-Петербург
